6|6,6.670951843261719
84 30 6|84 30 6,7.51495361328125
90 30 6|90 30 6,7.109642028808594
96 30 6|96 30 6,8.678436279296875
36 6|36 6,6.718635559082031
6 36 6|6 36 6,6.642341613769531
12 36 6|12 36 6,8.783340454101562
18 36 6|18 36 6,6.775856018066406
24 36 6|24 36 6,6.937980651855469
30 36 6|30 36 6,6.923675537109375
36 36 6|36 36 6,6.842613220214844
42 36 6|42 36 6,6.756782531738281
48 36 6|48 36 6,7.023811340332031
54 36 6|54 36 6,7.014274597167969
60 36 6|60 36 6,6.7996978759765625
66 36 6|66 36 6,7.0285797119140625
72 36 6|72 36 6,7.4291229248046875
78 36 6|78 36 6,7.2574615478515625
84 36 6|84 36 6,7.462501525878906
90 36 6|90 36 6,7.4100494384765625
96 36 6|96 36 6,7.343292236328125
42 6|42 6,6.508827209472656
6 42 6|6 42 6,6.7901611328125
12 42 6|12 42 6,6.7806243896484375
18 42 6|18 42 6,7.290840148925781
24 42 6|24 42 6,7.815361022949219
30 42 6|30 42 6,6.75201416015625
36 42 6|36 42 6,6.6661834716796875
42 42 6|42 42 6,7.3337554931640625
48 42 6|48 42 6,6.8569183349609375
54 42 6|54 42 6,7.033348083496094
60 42 6|60 42 6,6.8569183349609375
66 42 6|66 42 6,7.1048736572265625
72 42 6|72 42 6,7.128715515136719
78 42 6|78 42 6,7.596015930175781
84 42 6|84 42 6,7.59124755859375
90 42 6|90 42 6,7.8582763671875
96 42 6|96 42 6,8.015632629394531
48 6|48 6,7.0476531982421875
6 48 6|6 48 6,6.5708160400390625
12 48 6|12 48 6,6.785392761230469
18 48 6|18 48 6,6.4754486083984375
24 48 6|24 48 6,7.0095062255859375
30 48 6|30 48 6,8.459091186523438
36 48 6|36 48 6,6.9427490234375
42 48 6|42 48 6,6.7806243896484375
48 48 6|48 48 6,7.081031799316406
54 48 6|54 48 6,6.842613220214844
60 48 6|60 48 6,7.2002410888671875
66 48 6|66 48 6,7.443428039550781
72 48 6|72 48 6,7.4100494384765625
78 48 6|78 48 6,7.4291229248046875
84 48 6|84 48 6,8.597373962402344
90 48 6|90 48 6,7.6007843017578125
96 48 6|96 48 6,8.149147033691406
54 6|54 6,6.623268127441406
6 54 6|6 54 6,6.732940673828125
12 54 6|12 54 6,6.389617919921875
18 54 6|18 54 6,6.546974182128906
24 54 6|24 54 6,6.890296936035156
30 54 6|30 54 6,6.995201110839844
36 54 6|36 54 6,6.861686706542969
42 54 6|42 54 6,7.138252258300781
48 54 6|48 54 6,6.923675537109375
54 54 6|54 54 6,7.266998291015625
60 54 6|60 54 6,7.4005126953125
66 54 6|66 54 6,7.4100494384765625
72 54 6|72 54 6,7.309913635253906
78 54 6|78 54 6,7.476806640625
84 54 6|84 54 6,8.149147033691406
90 54 6|90 54 6,9.565353393554688
96 54 6|96 54 6,7.739067077636719
