6|6,10.79559326171875
6 36 6|6 36 6,10.967254638671875
12 36 6|12 36 6,11.043548583984375
18 36 6|18 36 6,10.7574462890625
24 36 6|24 36 6,11.301040649414062
30 36 6|30 36 6,11.258125305175781
36 36 6|36 36 6,11.019706726074219
42 36 6|42 36 6,11.239051818847656
48 36 6|48 36 6,11.916160583496094
54 36 6|54 36 6,12.769699096679688
60 36 6|60 36 6,11.463165283203125
66 36 6|66 36 6,11.591911315917969
72 36 6|72 36 6,11.86370849609375
78 36 6|78 36 6,15.387535095214846
84 36 6|84 36 6,12.173652648925781
90 36 6|90 36 6,12.297630310058594
96 36 6|96 36 6,13.222694396972656
42 6|42 6,11.649131774902344
6 42 6|6 42 6,10.94818115234375
12 42 6|12 42 6,11.057853698730469
18 42 6|18 42 6,11.491775512695312
24 42 6|24 42 6,11.339187622070312
30 42 6|30 42 6,10.94818115234375
36 42 6|36 42 6,11.067390441894531
42 42 6|42 42 6,12.030601501464844
48 42 6|48 42 6,11.925697326660156
54 42 6|54 42 6,11.587142944335938
60 42 6|60 42 6,13.098716735839844
66 42 6|66 42 6,12.507438659667969
72 42 6|72 42 6,12.450218200683594
78 42 6|78 42 6,12.745857238769531
84 42 6|84 42 6,13.270378112792969
90 42 6|90 42 6,13.012886047363281
96 42 6|96 42 6,12.936592102050781
48 6|48 6,11.124610900878906
6 48 6|6 48 6,11.453628540039062
12 48 6|12 48 6,11.153221130371094
18 48 6|18 48 6,11.205673217773438
24 48 6|24 48 6,11.372566223144531
30 48 6|30 48 6,11.277198791503906
36 48 6|36 48 6,11.477470397949219
42 48 6|42 48 6,11.639595031738281
48 48 6|48 48 6,15.635490417480469
54 48 6|54 48 6,11.739730834960938
60 48 6|60 48 6,11.749267578125
66 48 6|66 48 6,12.664794921875
72 48 6|72 48 6,12.664794921875
78 48 6|78 48 6,12.841224670410156
84 48 6|84 48 6,12.388229370117188
90 48 6|90 48 6,13.422966003417969
96 48 6|96 48 6,12.974739074707031
54 6|54 6,11.019706726074219
6 54 6|6 54 6,11.034011840820312
12 54 6|12 54 6,10.399818420410156
18 54 6|18 54 6,11.29150390625
24 54 6|24 54 6,11.630058288574219
30 54 6|30 54 6,11.096000671386719
36 54 6|36 54 6,11.32965087890625
42 54 6|42 54 6,11.706352233886719
48 54 6|48 54 6,12.669563293457031
54 54 6|54 54 6,11.925697326660156
60 54 6|60 54 6,12.16888427734375
66 54 6|66 54 6,12.946128845214844
72 54 6|72 54 6,12.540817260742188
78 54 6|78 54 6,13.012886047363281
84 54 6|84 54 6,12.984275817871094
90 54 6|90 54 6,13.127326965332031
96 54 6|96 54 6,13.184547424316406
60 6|60 6,11.339187622070312
6 60 6|6 60 6,10.771751403808594
12 60 6|12 60 6,11.172294616699219
18 60 6|18 60 6,13.880729675292969
24 60 6|24 60 6,11.382102966308594
30 60 6|30 60 6,11.425018310546875
36 60 6|36 60 6,11.653900146484375
42 60 6|42 60 6,11.63482666015625
48 60 6|48 60 6,12.135505676269531
54 60 6|54 60 6,12.807846069335938
60 60 6|60 60 6,13.780593872070312
66 60 6|66 60 6,13.113021850585938
72 60 6|72 60 6,13.170242309570312
78 60 6|78 60 6,14.204978942871094
84 60 6|84 60 6,13.427734375
90 60 6|90 60 6,14.019012451171875
96 60 6|96 60 6,13.957023620605469
66 6|66 6,11.167526245117188
6 66 6|6 66 6,11.382102966308594
12 66 6|12 66 6,11.639595031738281
18 66 6|18 66 6,11.277198791503906
24 66 6|24 66 6,11.339187622070312
30 66 6|30 66 6,11.63482666015625
36 66 6|36 66 6,11.496543884277344
42 66 6|42 66 6,12.2833251953125
48 66 6|48 66 6,11.725425720214844
54 66 6|54 66 6,12.412071228027344
60 66 6|60 66 6,12.831687927246094
66 66 6|66 66 6,13.895034790039062
72 66 6|72 66 6,13.127326965332031
78 66 6|78 66 6,12.979507446289062
84 66 6|84 66 6,13.77105712890625
90 66 6|90 66 6,13.232231140136719
96 66 6|96 66 6,13.92364501953125
72 6|72 6,11.272430419921875
6 72 6|6 72 6,12.068748474121094
12 72 6|12 72 6,10.976791381835938
18 72 6|18 72 6,11.153221130371094
24 72 6|24 72 6,12.488365173339844
30 72 6|30 72 6,11.744499206542969
36 72 6|36 72 6,11.324882507324219
42 72 6|42 72 6,12.359619140625
48 72 6|48 72 6,12.55035400390625
54 72 6|54 72 6,12.583732604980469
60 72 6|60 72 6,12.32147216796875
66 72 6|66 72 6,13.251304626464844
72 72 6|72 72 6,12.936592102050781
78 72 6|78 72 6,13.422966003417969
84 72 6|84 72 6,14.414787292480469
90 72 6|90 72 6,15.22064208984375
96 72 6|96 72 6,13.895034790039062
78 6|78 6,11.315345764160156
6 78 6|6 78 6,11.343955993652344
12 78 6|12 78 6,11.119842529296875
18 78 6|18 78 6,11.377334594726562
24 78 6|24 78 6,11.339187622070312
30 78 6|30 78 6,11.644363403320312
36 78 6|36 78 6,11.949539184570312
42 78 6|42 78 6,12.555122375488281
48 78 6|48 78 6,13.036727905273438
