6|6,4.115104675292969
60 36 6|60 36 6,13.241767883300781
66 36 6|66 36 6,14.91546630859375
72 36 6|72 36 6,13.670921325683594
78 36 6|78 36 6,14.219284057617188
84 36 6|84 36 6,14.843940734863281
90 36 6|90 36 6,17.070770263671875
96 36 6|96 36 6,16.798973083496094
42 6|42 6,7.834434509277344
6 42 6|6 42 6,9.374618530273438
12 42 6|12 42 6,9.355545043945312
18 42 6|18 42 6,9.560585021972656
24 42 6|24 42 6,10.471343994140625
30 42 6|30 42 6,11.94000244140625
36 42 6|36 42 6,11.920928955078125
42 42 6|42 42 6,14.743804931640625
48 42 6|48 42 6,12.416839599609375
54 42 6|54 42 6,12.884140014648438
60 42 6|60 42 6,13.303756713867188
66 42 6|66 42 6,13.942718505859375
72 42 6|72 42 6,14.510154724121094
78 42 6|78 42 6,15.187263488769531
84 42 6|84 42 6,17.800331115722656
90 42 6|90 42 6,18.138885498046875
96 42 6|96 42 6,19.45018768310547
48 6|48 6,7.6961517333984375
6 48 6|6 48 6,8.04901123046875
12 48 6|12 48 6,10.56671142578125
18 48 6|18 48 6,10.957717895507812
24 48 6|24 48 6,9.942054748535156
30 48 6|30 48 6,11.911392211914062
36 48 6|36 48 6,12.145042419433594
42 48 6|42 48 6,12.412071228027344
48 48 6|48 48 6,13.12255859375
54 48 6|54 48 6,14.061927795410156
60 48 6|60 48 6,14.748573303222656
66 48 6|66 48 6,15.254020690917969
72 48 6|72 48 6,15.268325805664064
78 48 6|78 48 6,17.719268798828125
84 48 6|84 48 6,16.78466796875
90 48 6|90 48 6,20.06053924560547
96 48 6|96 48 6,21.572113037109375
54 6|54 6,7.548332214355469
6 54 6|6 54 6,8.454322814941406
12 54 6|12 54 6,10.175704956054688
18 54 6|18 54 6,11.544227600097656
24 54 6|24 54 6,10.695457458496094
30 54 6|30 54 6,11.925697326660156
36 54 6|36 54 6,12.607574462890625
42 54 6|42 54 6,12.55035400390625
48 54 6|48 54 6,52.428245544433594
54 54 6|54 54 6,13.990402221679688
60 54 6|60 54 6,17.004013061523438
66 54 6|66 54 6,16.679763793945312
72 54 6|72 54 6,17.00878143310547
78 54 6|78 54 6,21.01898193359375
84 54 6|84 54 6,23.741722106933594
90 54 6|90 54 6,21.1334228515625
96 54 6|96 54 6,22.80712127685547
60 6|60 6,7.643699645996095
6 60 6|6 60 6,8.435249328613281
12 60 6|12 60 6,9.603500366210938
18 60 6|18 60 6,11.053085327148438
24 60 6|24 60 6,11.110305786132812
30 60 6|30 60 6,11.71112060546875
36 60 6|36 60 6,13.651847839355469
42 60 6|42 60 6,14.262199401855469
48 60 6|48 60 6,16.09325408935547
54 60 6|54 60 6,15.45429229736328
60 60 6|60 60 6,15.945434570312498
66 60 6|66 60 6,15.792846679687498
72 60 6|72 60 6,18.148422241210938
78 60 6|78 60 6,18.510818481445312
84 60 6|84 60 6,19.712448120117188
90 60 6|90 60 6,19.807815551757812
96 60 6|96 60 6,22.411346435546875
66 6|66 6,7.929801940917968
6 66 6|6 66 6,10.137557983398438
12 66 6|12 66 6,10.647773742675781
18 66 6|18 66 6,11.010169982910156
24 66 6|24 66 6,11.234283447265625
30 66 6|30 66 6,13.947486877441406
36 66 6|36 66 6,13.232231140136719
42 66 6|42 66 6,13.933181762695312
48 66 6|48 66 6,15.239715576171875
54 66 6|54 66 6,16.40796661376953
60 66 6|60 66 6,16.78943634033203
66 66 6|66 66 6,17.795562744140625
72 66 6|72 66 6,19.72675323486328
78 66 6|78 66 6,20.56598663330078
84 66 6|84 66 6,21.338462829589844
90 66 6|90 66 6,21.796226501464844
96 66 6|96 66 6,24.166107177734375
72 6|72 6,7.596015930175781
6 72 6|6 72 6,9.245872497558594
12 72 6|12 72 6,9.703636169433594
18 72 6|18 72 6,12.049674987792969
24 72 6|24 72 6,11.425018310546875
30 72 6|30 72 6,12.93182373046875
36 72 6|36 72 6,13.756752014160156
42 72 6|42 72 6,14.939308166503906
48 72 6|48 72 6,15.196800231933594
54 72 6|54 72 6,16.498565673828125
60 72 6|60 72 6,18.334388732910156
66 72 6|66 72 6,29.888153076171875
72 72 6|72 72 6,21.181106567382812
78 72 6|78 72 6,21.076202392578125
84 72 6|84 72 6,21.09050750732422
90 72 6|90 72 6,23.23150634765625
96 72 6|96 72 6,26.311874389648438
78 6|78 6,7.677078247070313
6 78 6|6 78 6,9.741783142089844
12 78 6|12 78 6,12.755393981933594
18 78 6|18 78 6,11.725425720214844
24 78 6|24 78 6,14.166831970214844
30 78 6|30 78 6,14.476776123046875
36 78 6|36 78 6,13.933181762695312
42 78 6|42 78 6,16.074180603027344
48 78 6|48 78 6,16.279220581054688
54 78 6|54 78 6,18.167495727539062
60 78 6|60 78 6,19.741058349609375
66 78 6|66 78 6,22.454261779785156
72 78 6|72 78 6,20.194053649902344
78 78 6|78 78 6,21.28124237060547
84 78 6|84 78 6,22.759437561035156
90 78 6|90 78 6,23.64635467529297
96 78 6|96 78 6,27.04143524169922
84 6|84 6,8.225440979003906
6 84 6|6 84 6,8.301734924316406
