6|6,3.1423568725585938
48 30 6|48 30 6,7.777214050292968
54 30 6|54 30 6,7.967948913574219
60 30 6|60 30 6,8.120536804199219
66 30 6|66 30 6,8.549690246582031
72 30 6|72 30 6,8.029937744140625
78 30 6|78 30 6,8.454322814941406
84 30 6|84 30 6,8.697509765625
90 30 6|90 30 6,9.245872497558594
96 30 6|96 30 6,9.322166442871094
36 6|36 6,6.1130523681640625
6 36 6|6 36 6,7.567405700683594
12 36 6|12 36 6,6.6661834716796875
18 36 6|18 36 6,7.233619689941406
24 36 6|24 36 6,7.386207580566406
30 36 6|30 36 6,7.1239471435546875
36 36 6|36 36 6,8.082389831542969
42 36 6|42 36 6,7.853507995605468
48 36 6|48 36 6,7.691383361816405
54 36 6|54 36 6,8.716583251953125
60 36 6|60 36 6,7.925033569335938
66 36 6|66 36 6,8.444786071777344
72 36 6|72 36 6,8.306503295898438
78 36 6|78 36 6,8.730888366699219
84 36 6|84 36 6,9.531974792480469
90 36 6|90 36 6,9.379386901855469
96 36 6|96 36 6,9.288787841796875
42 6|42 6,6.40869140625
6 42 6|6 42 6,6.961822509765625
12 42 6|12 42 6,6.6280364990234375
18 42 6|18 42 6,6.632804870605469
24 42 6|24 42 6,7.686614990234376
30 42 6|30 42 6,7.2193145751953125
36 42 6|36 42 6,7.643699645996095
42 42 6|42 42 6,8.23974609375
48 42 6|48 42 6,8.592605590820312
54 42 6|54 42 6,8.311271667480469
60 42 6|60 42 6,9.202957153320312
66 42 6|66 42 6,8.978843688964844
72 42 6|72 42 6,9.741783142089844
78 42 6|78 42 6,12.478828430175781
84 42 6|84 42 6,9.264945983886719
90 42 6|90 42 6,10.852813720703125
96 42 6|96 42 6,10.766983032226562
48 6|48 6,6.0272216796875
6 48 6|6 48 6,6.461143493652344
12 48 6|12 48 6,6.75201416015625
18 48 6|18 48 6,6.771087646484375
24 48 6|24 48 6,8.115768432617188
30 48 6|30 48 6,8.387565612792969
36 48 6|36 48 6,7.724761962890625
42 48 6|42 48 6,7.991790771484376
48 48 6|48 48 6,8.20159912109375
54 48 6|54 48 6,9.284019470214844
60 48 6|60 48 6,9.317398071289062
66 48 6|66 48 6,8.931159973144531
72 48 6|72 48 6,10.151863098144531
78 48 6|78 48 6,9.927749633789062
84 48 6|84 48 6,10.027885437011719
90 48 6|90 48 6,10.247230529785156
96 48 6|96 48 6,11.701583862304688
54 6|54 6,6.14166259765625
6 54 6|6 54 6,6.508827209472656
12 54 6|12 54 6,6.642341613769531
18 54 6|18 54 6,8.502006530761719
24 54 6|24 54 6,7.9631805419921875
30 54 6|30 54 6,7.495880126953125
36 54 6|36 54 6,8.363723754882812
42 54 6|42 54 6,8.883476257324219
48 54 6|48 54 6,8.459091186523438
54 54 6|54 54 6,8.816719055175781
60 54 6|60 54 6,9.560585021972656
66 54 6|66 54 6,9.732246398925781
72 54 6|72 54 6,10.857582092285156
78 54 6|78 54 6,10.304450988769531
84 54 6|84 54 6,11.625289916992188
90 54 6|90 54 6,11.277198791503906
96 54 6|96 54 6,13.837814331054688
60 6|60 6,6.308555603027344
6 60 6|6 60 6,6.556510925292969
12 60 6|12 60 6,6.7901611328125
18 60 6|18 60 6,8.463859558105469
24 60 6|24 60 6,7.305145263671875
30 60 6|30 60 6,8.130073547363281
36 60 6|36 60 6,8.482933044433594
42 60 6|42 60 6,8.511543273925781
48 60 6|48 60 6,8.764266967773438
54 60 6|54 60 6,9.870529174804688
60 60 6|60 60 6,9.95635986328125
66 60 6|66 60 6,9.908676147460938
72 60 6|72 60 6,10.819435119628906
78 60 6|78 60 6,10.609626770019531
84 60 6|84 60 6,11.625289916992188
90 60 6|90 60 6,12.059211730957031
96 60 6|96 60 6,13.580322265625
66 6|66 6,6.14166259765625
6 66 6|6 66 6,6.632804870605469
12 66 6|12 66 6,8.1634521484375
18 66 6|18 66 6,7.2574615478515625
24 66 6|24 66 6,7.719993591308595
30 66 6|30 66 6,8.029937744140625
36 66 6|36 66 6,8.325576782226562
42 66 6|42 66 6,12.47406005859375
48 66 6|48 66 6,9.870529174804688
54 66 6|54 66 6,10.499954223632812
60 66 6|60 66 6,10.881423950195312
66 66 6|66 66 6,10.466575622558594
72 66 6|72 66 6,11.487007141113281
78 66 6|78 66 6,11.234283447265625
84 66 6|84 66 6,13.113021850585938
90 66 6|90 66 6,13.599395751953125
96 66 6|96 66 6,14.472007751464844
72 6|72 6,6.198883056640625
6 72 6|6 72 6,6.5898895263671875
12 72 6|12 72 6,7.2479248046875
18 72 6|18 72 6,7.43865966796875
24 72 6|24 72 6,7.834434509277344
30 72 6|30 72 6,8.673667907714844
36 72 6|36 72 6,8.449554443359375
42 72 6|42 72 6,9.784698486328125
48 72 6|48 72 6,9.80377197265625
54 72 6|54 72 6,9.918212890625
60 72 6|60 72 6,10.2996826171875
66 72 6|66 72 6,11.582374572753906
72 72 6|72 72 6,11.353492736816406
78 72 6|78 72 6,12.636184692382812
84 72 6|84 72 6,13.232231140136719
90 72 6|90 72 6,14.715194702148438
